IPI	Description	Protein Length	TMHMM Topology	List of Transmembrane Loops and Sequon Data	Avg-loop.i	Avg-loop.o
IPI00379335	TREMBL Q3TQ88	271	o157-179i	o(1-157=156)/1 i(179-271=92)/0 	92	156
IPI00856480	TREMBL E9PUN0	1640	o1564-1586i	o(1-1564=1563)/1 i(1586-1640=54)/0 	54	1563
IPI00987953	TREMBL E9PVE8	524	o156-178i191-210o230-252i265-287o313-332i405-427o437-459i	o(1-156=155)/1 i(178-191=13)/0 o(210-230=20)/0 i(252-265=13)/0 o(287-313=26)/0 i(332-405=73)/0 o(427-437=10)/0 i(459-524=65)/0 	41	52.75
IPI00988700	TREMBL E9Q4B3	496	o156-178i191-210o230-252i265-287o313-332i383-400o410-432i	o(1-156=155)/1 i(178-191=13)/0 o(210-230=20)/0 i(252-265=13)/0 o(287-313=26)/0 i(332-383=51)/0 o(400-410=10)/0 i(432-496=64)/0 	35.25	52.75
IPI00137309	SWISS-PROT P70205	496	o156-178i191-210o230-252i265-287o313-332i377-399o409-431i	o(1-156=155)/1 i(178-191=13)/0 o(210-230=20)/0 i(252-265=13)/0 o(287-313=26)/0 i(332-377=45)/0 o(399-409=10)/0 i(431-496=65)/0 	34	52.75
IPI00989251	TREMBL Q8BLT3	496	o156-178i191-210o230-252i265-287o313-332i377-399o409-431i	o(1-156=155)/1 i(178-191=13)/0 o(210-230=20)/0 i(252-265=13)/0 o(287-313=26)/0 i(332-377=45)/0 o(399-409=10)/0 i(431-496=65)/0 	34	52.75
IPI01027103	TREMBL E9Q968	495	o156-178i191-210o230-252i265-287o313-332i376-398o408-430i	o(1-156=155)/1 i(178-191=13)/0 o(210-230=20)/0 i(252-265=13)/0 o(287-313=26)/0 i(332-376=44)/0 o(398-408=10)/0 i(430-495=65)/0 	33.75	52.75
IPI00402890	TREMBL Q6NXJ9 Q8BGA4	468	o156-178i191-210o230-252i265-287o307-329i349-371o381-403i	o(1-156=155)/1 i(178-191=13)/0 o(210-230=20)/0 i(252-265=13)/0 o(287-307=20)/0 i(329-349=20)/0 o(371-381=10)/0 i(403-468=65)/0 	27.75	51.25
IPI00132807	SWISS-PROT P38575	184	o156-178i	o(1-156=155)/1 i(178-184=6)/0 	6	155
IPI00133834	TREMBL E9PW25 Q8C4K3	250	o156-178i	o(1-156=155)/1 i(178-250=72)/0 	72	155
IPI00221792	SWISS-PROT P97797-3	295	o156-178i	o(1-156=155)/1 i(178-295=117)/0 	117	155
IPI00229461	SWISS-PROT O35714-2	294	o156-178i	o(1-156=155)/1 i(178-294=116)/0 	116	155
IPI00229462	SWISS-PROT O35714-3	222	o156-178i	o(1-156=155)/1 i(178-222=44)/0 	44	155
IPI00621738	SWISS-PROT P06335	190	o156-178i	o(1-156=155)/1 i(178-190=12)/0 	12	155
IPI00831262	TREMBL D3Z6U7	187	o156-178i	o(1-156=155)/1 i(178-187=9)/0 	9	155
IPI00889853	TREMBL B1ASL6	314	o156-178i	o(1-156=155)/1 i(178-314=136)/0 	136	155
IPI00970735	TREMBL E9QPT7	295	o156-178i	o(1-156=155)/1 i(178-295=117)/0 	117	155
IPI00989641	SWISS-PROT O35714-1	228	o156-178i	o(1-156=155)/1 i(178-228=50)/0 	50	155
IPI00420332	SWISS-PROT Q6P4U0	1607	o1558-1580i	o(1-1558=1557)/1 i(1580-1607=27)/0 	27	1557
IPI00119975	SWISS-PROT Q00609-2	212	o155-177i	o(1-155=154)/1 i(177-212=35)/0 	35	154
IPI00133931	SWISS-PROT Q9D1M7	201	o155-177i	o(1-155=154)/1 i(177-201=24)/0 	24	154
IPI00272334	TREMBL Q6QX36	289	o155-177i	o(1-155=154)/1 i(177-289=112)/0 	112	154
IPI00458209	TREMBL Q3ULR5	210	o155-177i	o(1-155=154)/1 i(177-210=33)/0 	33	154
IPI00974954	ENSEMBL ENSMUSP00000108881	263	o155-177i	o(1-155=154)/1 i(177-263=86)/0 	86	154
IPI00311300	SWISS-PROT Q9JJE7	449	o154-176i269-291o311-333i	o(1-154=153)/1 i(176-269=93)/0 o(291-311=20)/0 i(333-449=116)/0 	104.5	86.5
IPI00131062	SWISS-PROT P97952	218	o154-176i	o(1-154=153)/1 i(176-218=42)/0 	42	153
IPI00229336	SWISS-PROT P06332-2	217	o154-176i	o(1-154=153)/1 i(176-217=41)/0 	41	153
IPI00318069	SWISS-PROT P31041	218	o154-176i	o(1-154=153)/1 i(176-218=42)/0 	42	153
IPI00387437	TREMBL Q6GSH7 Q8CDB3	218	o154-176i	o(1-154=153)/1 i(176-218=42)/0 	42	153
IPI01026662	TREMBL Q31132	205	o154-176i	o(1-154=153)/1 i(176-205=29)/0 	29	153
IPI00987481	REFSEQ XP_003086913	206	o15-37i98-120o145-167i	o(1-15=14)/1 i(37-98=61)/0 o(120-145=25)/0 i(167-206=39)/0 	50	19.5
IPI00110332	TREMBL Q9EQ36	303	o15-37i92-114o134-156i169-188o193-210i237-259o	o(1-15=14)/1 i(37-92=55)/0 o(114-134=20)/0 i(156-169=13)/0 o(188-193=5)/0 i(210-237=27)/0 o(259-303=44)/0 	31.6667	20.75
IPI00752865	TREMBL B7ZCB5	399	o15-37i92-114o124-146i172-194o204-226i239-261o266-288i295-317o332-354i	o(1-15=14)/1 i(37-92=55)/0 o(114-124=10)/0 i(146-172=26)/0 o(194-204=10)/0 i(226-239=13)/0 o(261-266=5)/0 i(288-295=7)/0 o(317-332=15)/0 i(354-399=45)/0 	29.2	10.8
IPI00135202	TREMBL Q9D314	126	o15-37i90-112o	o(1-15=14)/1 i(37-90=53)/0 o(112-126=14)/0 	53	14
IPI00624721	TREMBL Q9D524	141	o15-37i85-107o117-139i	o(1-15=14)/1 i(37-85=48)/0 o(107-117=10)/0 i(139-141=2)/0 	25	12
IPI00986725	TREMBL F7ACN5	157	o15-37i83-105o120-139i	o(1-15=14)/1 i(37-83=46)/0 o(105-120=15)/0 i(139-157=18)/0 	32	14.5
IPI00407840	SWISS-PROT Q5NC32	447	o15-37i82-101o105-127i140-162o172-194i220-242o252-274i287-309o314-336i343-365o380-402i	o(1-15=14)/1 i(37-82=45)/0 o(101-105=4)/0 i(127-140=13)/0 o(162-172=10)/0 i(194-220=26)/0 o(242-252=10)/0 i(274-287=13)/0 o(309-314=5)/0 i(336-343=7)/0 o(365-380=15)/0 i(402-447=45)/0 	24.8333	9.66667
IPI00221584	SWISS-PROT Q9WUP4-1	330	o15-37i76-98o132-150i171-193o208-227i272-294o	o(1-15=14)/1 i(37-76=39)/0 o(98-132=34)/0 i(150-171=21)/0 o(193-208=15)/0 i(227-272=45)/0 o(294-330=36)/0 	35	24.75
IPI00137727	SWISS-PROT Q9CUS9	384	o15-37i73-90o94-116i137-159o163-181i188-210o261-283i312-334o338-360i	o(1-15=14)/1 i(37-73=36)/0 o(90-94=4)/0 i(116-137=21)/0 o(159-163=4)/0 i(181-188=7)/0 o(210-261=51)/0 i(283-312=29)/0 o(334-338=4)/0 i(360-384=24)/0 	23.4	15.4
IPI00124253	SWISS-PROT A2AVZ9-2	224	o15-37i70-92o97-119i126-148o158-180i185-207o	o(1-15=14)/1 i(37-70=33)/0 o(92-97=5)/0 i(119-126=7)/0 o(148-158=10)/0 i(180-185=5)/0 o(207-224=17)/0 	15	11.5
IPI00381611	TREMBL Q14DT8 Q6IMH7 Q8C0V3	756	o15-37i704-726o	o(1-15=14)/1 i(37-704=667)/0 o(726-756=30)/0 	667	22
IPI00677447	SWISS-PROT Q3TBT3-2	427	o15-37i68-85o134-156i163-185o	o(1-15=14)/1 i(37-68=31)/0 o(85-134=49)/0 i(156-163=7)/0 o(185-427=242)/0 	19	101.667
IPI00229259	TREMBL B7ZWJ5 B9EKH2 Q8CEZ6	289	o15-37i66-88o108-126i133-151o164-186i195-217o232-254i	o(1-15=14)/1 i(37-66=29)/0 o(88-108=20)/0 i(126-133=7)/0 o(151-164=13)/0 i(186-195=9)/0 o(217-232=15)/0 i(254-289=35)/0 	20	15.5
IPI00405478	SWISS-PROT Q7M707	316	o15-37i63-84o94-116i137-159o192-214i238-260o270-292i	o(1-15=14)/1 i(37-63=26)/0 o(84-94=10)/0 i(116-137=21)/0 o(159-192=33)/0 i(214-238=24)/0 o(260-270=10)/0 i(292-316=24)/0 	23.75	16.75
IPI00986869	REFSEQ XP_003086590	316	o15-37i63-84o94-116i137-159o192-214i238-260o270-292i	o(1-15=14)/1 i(37-63=26)/0 o(84-94=10)/0 i(116-137=21)/0 o(159-192=33)/0 i(214-238=24)/0 o(260-270=10)/0 i(292-316=24)/0 	23.75	16.75
IPI00130376	SWISS-PROT P00397	514	o15-37i62-84o104-126i147-169o184-206i236-258o268-290i303-325o340-362i375-397o412-434i455-477o	o(1-15=14)/1 i(37-62=25)/0 o(84-104=20)/0 i(126-147=21)/0 o(169-184=15)/0 i(206-236=30)/0 o(258-268=10)/0 i(290-303=13)/0 o(325-340=15)/0 i(362-375=13)/0 o(397-412=15)/0 i(434-455=21)/0 o(477-514=37)/0 	20.5	18
IPI00355248	TREMBL A5YMU1 A5YMZ2 A5YMZ3 A5YMZ4 A5YMZ5 A5YMZ6 A5YMZ7 A5YMZ8 A5YMZ9 A5YN00 B3IYS1 D6R472 D9D7W1 Q35042 Q3TML7 Q3TRT0 Q3UQ58 Q3UR21 Q3UTW3 Q5BP84 Q5BP85 Q5BP88 Q70YN3 Q9MD68	514	o15-37i62-84o104-126i147-169o184-206i236-258o268-290i303-325o340-362i375-397o412-434i455-477o	o(1-15=14)/1 i(37-62=25)/0 o(84-104=20)/0 i(126-147=21)/0 o(169-184=15)/0 i(206-236=30)/0 o(258-268=10)/0 i(290-303=13)/0 o(325-340=15)/0 i(362-375=13)/0 o(397-412=15)/0 i(434-455=21)/0 o(477-514=37)/0 	20.5	18
IPI00454194	SWISS-PROT Q7M712	333	o15-37i61-82o92-114i134-156o205-227i258-280o284-306i	o(1-15=14)/1 i(37-61=24)/0 o(82-92=10)/0 i(114-134=20)/0 o(156-205=49)/0 i(227-258=31)/0 o(280-284=4)/0 i(306-333=27)/0 	25.5	19.25
IPI00380689	TREMBL A2RS36 E9Q1L6 Q7TRW6 Q8VFY4	309	o15-37i58-80o95-117i144-166o202-224i236-258o268-290i	o(1-15=14)/1 i(37-58=21)/0 o(80-95=15)/0 i(117-144=27)/0 o(166-202=36)/0 i(224-236=12)/0 o(258-268=10)/0 i(290-309=19)/0 	19.75	18.75
IPI00405488	SWISS-PROT Q7M715	330	o15-37i58-80o95-116i136-155o191-213i237-259o269-291i	o(1-15=14)/1 i(37-58=21)/0 o(80-95=15)/0 i(116-136=20)/0 o(155-191=36)/0 i(213-237=24)/0 o(259-269=10)/0 i(291-330=39)/0 	26	18.75
IPI00850015	REFSEQ XP_001472336	317	o15-37i58-80o95-116i136-155o191-213i237-259o269-291i	o(1-15=14)/1 i(37-58=21)/0 o(80-95=15)/0 i(116-136=20)/0 o(155-191=36)/0 i(213-237=24)/0 o(259-269=10)/0 i(291-317=26)/0 	22.75	18.75
IPI00395168	SWISS-PROT Q91V79	292	o15-37i58-80o95-114i189-211o221-243i250-272o	o(1-15=14)/1 i(37-58=21)/0 o(80-95=15)/0 i(114-189=75)/0 o(211-221=10)/0 i(243-250=7)/0 o(272-292=20)/0 	34.3333	14.75
IPI00283171	SWISS-PROT Q5SWY8	596	o15-37i58-80o95-114i135-157o172-194i201-220o261-278i299-321o367-389i410-432o442-464i471-493o513-535i576-595o	o(1-15=14)/1 i(37-58=21)/0 o(80-95=15)/0 i(114-135=21)/0 o(157-172=15)/0 i(194-201=7)/0 o(220-261=41)/0 i(278-299=21)/0 o(321-367=46)/0 i(389-410=21)/0 o(432-442=10)/0 i(464-471=7)/0 o(493-513=20)/0 i(535-576=41)/0 o(595-596=1)/0 	19.8571	20.25
IPI00137194	SWISS-PROT P53986	493	o15-37i58-80o84-106i113-135o150-169i176-198o255-277i324-341o345-367i380-399o414-436i	o(1-15=14)/1 i(37-58=21)/0 o(80-84=4)/0 i(106-113=7)/0 o(135-150=15)/0 i(169-176=7)/0 o(198-255=57)/0 i(277-324=47)/0 o(341-345=4)/0 i(367-380=13)/0 o(399-414=15)/0 i(436-493=57)/0 	25.3333	18.1667
IPI00170113	TREMBL Q8K3N5	305	o15-37i58-80o194-211i243-265o270-292i	o(1-15=14)/1 i(37-58=21)/0 o(80-194=114)/0 i(211-243=32)/0 o(265-270=5)/0 i(292-305=13)/0 	22	44.3333
IPI00875607	TREMBL D3YTX7	314	o15-37i58-80o194-211i243-265o270-292i	o(1-15=14)/1 i(37-58=21)/0 o(80-194=114)/0 i(211-243=32)/0 o(265-270=5)/0 i(292-314=22)/0 	25	44.3333
IPI00667708	TREMBL D3YZG3	307	o15-37i58-80o192-214i245-267o272-294i	o(1-15=14)/1 i(37-58=21)/0 o(80-192=112)/0 i(214-245=31)/0 o(267-272=5)/0 i(294-307=13)/0 	21.6667	43.6667
IPI00751565	TREMBL E9PZT0	307	o15-37i58-80o192-214i245-267o272-294i	o(1-15=14)/1 i(37-58=21)/0 o(80-192=112)/0 i(214-245=31)/0 o(267-272=5)/0 i(294-307=13)/0 	21.6667	43.6667
IPI00849874	TREMBL E9PV71	307	o15-37i58-80o192-214i245-267o272-294i	o(1-15=14)/1 i(37-58=21)/0 o(80-192=112)/0 i(214-245=31)/0 o(267-272=5)/0 i(294-307=13)/0 	21.6667	43.6667
IPI00955658	ENSEMBL ENSMUSP00000133990	307	o15-37i58-80o192-214i245-267o272-294i	o(1-15=14)/1 i(37-58=21)/0 o(80-192=112)/0 i(214-245=31)/0 o(267-272=5)/0 i(294-307=13)/0 	21.6667	43.6667
IPI00955694	TREMBL E9Q365	307	o15-37i58-80o192-214i245-267o272-294i	o(1-15=14)/1 i(37-58=21)/0 o(80-192=112)/0 i(214-245=31)/0 o(267-272=5)/0 i(294-307=13)/0 	21.6667	43.6667
IPI00990027	TREMBL E9Q4H3	307	o15-37i58-80o192-214i245-267o272-294i	o(1-15=14)/1 i(37-58=21)/0 o(80-192=112)/0 i(214-245=31)/0 o(267-272=5)/0 i(294-307=13)/0 	21.6667	43.6667
IPI00990380	ENSEMBL ENSMUSP00000133350 ENSMUSP00000133608	307	o15-37i58-80o192-214i245-267o272-294i	o(1-15=14)/1 i(37-58=21)/0 o(80-192=112)/0 i(214-245=31)/0 o(267-272=5)/0 i(294-307=13)/0 	21.6667	43.6667
IPI01027853	ENSEMBL ENSMUSP00000133307	307	o15-37i58-80o192-214i245-267o272-294i	o(1-15=14)/1 i(37-58=21)/0 o(80-192=112)/0 i(214-245=31)/0 o(267-272=5)/0 i(294-307=13)/0 	21.6667	43.6667
IPI00986900	ENSEMBL ENSMUSP00000133606 ENSMUSP00000134659	307	o15-37i58-80o192-214i243-265o275-294i	o(1-15=14)/1 i(37-58=21)/0 o(80-192=112)/0 i(214-243=29)/0 o(265-275=10)/0 i(294-307=13)/0 	21	45.3333
IPI00463439	TREMBL E9Q1Q5	297	o15-37i58-80o192-214i235-257o262-284i	o(1-15=14)/1 i(37-58=21)/0 o(80-192=112)/0 i(214-235=21)/0 o(257-262=5)/0 i(284-297=13)/0 	18.3333	43.6667
IPI00460319	TREMBL D3YTX9	307	o15-37i58-80o191-213i245-267o272-294i	o(1-15=14)/1 i(37-58=21)/0 o(80-191=111)/0 i(213-245=32)/0 o(267-272=5)/0 i(294-307=13)/0 	22	43.3333
IPI00986130	TREMBL E9QA94	307	o15-37i58-80o191-213i245-267o272-294i	o(1-15=14)/1 i(37-58=21)/0 o(80-191=111)/0 i(213-245=32)/0 o(267-272=5)/0 i(294-307=13)/0 	22	43.3333
IPI00955682	TREMBL D3YTY2	306	o15-37i58-80o191-213i244-266o271-293i	o(1-15=14)/1 i(37-58=21)/0 o(80-191=111)/0 i(213-244=31)/0 o(266-271=5)/0 i(293-306=13)/0 	21.6667	43.3333
IPI00955697	TREMBL E9Q5J5	306	o15-37i58-80o191-213i244-266o271-293i	o(1-15=14)/1 i(37-58=21)/0 o(80-191=111)/0 i(213-244=31)/0 o(266-271=5)/0 i(293-306=13)/0 	21.6667	43.3333
IPI00985748	TREMBL E9PVM5	306	o15-37i58-80o191-213i244-266o271-293i	o(1-15=14)/1 i(37-58=21)/0 o(80-191=111)/0 i(213-244=31)/0 o(266-271=5)/0 i(293-306=13)/0 	21.6667	43.3333
IPI00990572	TREMBL E9PW18	306	o15-37i58-80o191-213i244-266o271-293i	o(1-15=14)/1 i(37-58=21)/0 o(80-191=111)/0 i(213-244=31)/0 o(266-271=5)/0 i(293-306=13)/0 	21.6667	43.3333
IPI00153548	TREMBL Q3KNP5 Q8K3N6 Q8R2B3 Q8VID0	305	o15-37i58-80o190-212i243-265o	o(1-15=14)/1 i(37-58=21)/0 o(80-190=110)/0 i(212-243=31)/0 o(265-305=40)/0 	26	54.6667
IPI00880469	TREMBL A8WFQ2	305	o15-37i58-80o135-154i174-191o195-212i243-265o270-292i	o(1-15=14)/1 i(37-58=21)/0 o(80-135=55)/0 i(154-174=20)/0 o(191-195=4)/0 i(212-243=31)/0 o(265-270=5)/0 i(292-305=13)/0 	21.25	19.5
IPI00955639	TREMBL E9Q8U4	295	o15-37i58-80o100-122i135-154o190-212i243-265o270-292i	o(1-15=14)/1 i(37-58=21)/0 o(80-100=20)/0 i(122-135=13)/0 o(154-190=36)/0 i(212-243=31)/0 o(265-270=5)/0 i(292-295=3)/0 	17	18.75
IPI00955734	TREMBL E9PYZ9	305	o15-37i58-80o100-122i135-154o190-212i243-265o270-292i	o(1-15=14)/1 i(37-58=21)/0 o(80-100=20)/0 i(122-135=13)/0 o(154-190=36)/0 i(212-243=31)/0 o(265-270=5)/0 i(292-305=13)/0 	19.5	18.75
IPI00955746	TREMBL E9Q018	305	o15-37i58-80o100-122i135-154o190-212i243-265o270-292i	o(1-15=14)/1 i(37-58=21)/0 o(80-100=20)/0 i(122-135=13)/0 o(154-190=36)/0 i(212-243=31)/0 o(265-270=5)/0 i(292-305=13)/0 	19.5	18.75
IPI00408199	TREMBL E9Q8L4	321	o15-37i58-80o100-122i134-156o194-211i243-265o270-292i	o(1-15=14)/1 i(37-58=21)/0 o(80-100=20)/0 i(122-134=12)/0 o(156-194=38)/0 i(211-243=32)/0 o(265-270=5)/0 i(292-321=29)/0 	23.5	19.25
IPI00969004	TREMBL D3Z242	321	o15-37i58-80o100-122i134-156o194-211i243-265o270-292i	o(1-15=14)/1 i(37-58=21)/0 o(80-100=20)/0 i(122-134=12)/0 o(156-194=38)/0 i(211-243=32)/0 o(265-270=5)/0 i(292-321=29)/0 	23.5	19.25
IPI00989114	TREMBL E9Q2L6	321	o15-37i58-80o100-122i134-156o194-211i243-265o270-292i	o(1-15=14)/1 i(37-58=21)/0 o(80-100=20)/0 i(122-134=12)/0 o(156-194=38)/0 i(211-243=32)/0 o(265-270=5)/0 i(292-321=29)/0 	23.5	19.25
IPI01007938	ENSEMBL ENSMUSP00000134084 ENSMUSP00000134516	314	o15-37i58-80o100-122i134-156o194-211i243-265o270-292i	o(1-15=14)/1 i(37-58=21)/0 o(80-100=20)/0 i(122-134=12)/0 o(156-194=38)/0 i(211-243=32)/0 o(265-270=5)/0 i(292-314=22)/0 	21.75	19.25
IPI00755682	TREMBL Q1RLK7	84	o15-37i58-80o	o(1-15=14)/1 i(37-58=21)/0 o(80-84=4)/0 	21	9
IPI00463362	SWISS-PROT P59528	333	o15-37i58-77o92-114i134-156o205-227i255-277o282-304i	o(1-15=14)/1 i(37-58=21)/0 o(77-92=15)/0 i(114-134=20)/0 o(156-205=49)/0 i(227-255=28)/0 o(277-282=5)/0 i(304-333=29)/0 	24.5	20.75
IPI00153551	TREMBL Q8R2B6	304	o15-37i58-77o134-153i173-190o194-211i242-264o269-291i	o(1-15=14)/1 i(37-58=21)/0 o(77-134=57)/0 i(153-173=20)/0 o(190-194=4)/0 i(211-242=31)/0 o(264-269=5)/0 i(291-304=13)/0 	21.25	20
IPI00468126	TREMBL E9Q3V4	305	o15-37i57-79o99-121i134-156o190-212i243-265o270-292i	o(1-15=14)/1 i(37-57=20)/0 o(79-99=20)/0 i(121-134=13)/0 o(156-190=34)/0 i(212-243=31)/0 o(265-270=5)/0 i(292-305=13)/0 	19.25	18.25
IPI00659236	TREMBL D3YTX5	305	o15-37i57-79o99-121i134-156o190-212i243-265o270-292i	o(1-15=14)/1 i(37-57=20)/0 o(79-99=20)/0 i(121-134=13)/0 o(156-190=34)/0 i(212-243=31)/0 o(265-270=5)/0 i(292-305=13)/0 	19.25	18.25
IPI00851103	TREMBL E9Q3T1	305	o15-37i57-79o99-121i134-156o190-212i243-265o270-292i	o(1-15=14)/1 i(37-57=20)/0 o(79-99=20)/0 i(121-134=13)/0 o(156-190=34)/0 i(212-243=31)/0 o(265-270=5)/0 i(292-305=13)/0 	19.25	18.25
IPI00875747	TREMBL D3YTX8	305	o15-37i57-79o99-121i134-156o190-212i243-265o270-292i	o(1-15=14)/1 i(37-57=20)/0 o(79-99=20)/0 i(121-134=13)/0 o(156-190=34)/0 i(212-243=31)/0 o(265-270=5)/0 i(292-305=13)/0 	19.25	18.25
IPI00955698	TREMBL E9PW84	305	o15-37i57-79o99-121i134-156o190-212i243-265o270-292i	o(1-15=14)/1 i(37-57=20)/0 o(79-99=20)/0 i(121-134=13)/0 o(156-190=34)/0 i(212-243=31)/0 o(265-270=5)/0 i(292-305=13)/0 	19.25	18.25
IPI00990970	TREMBL E9Q5H4	305	o15-37i57-79o99-121i134-156o190-212i243-265o270-292i	o(1-15=14)/1 i(37-57=20)/0 o(79-99=20)/0 i(121-134=13)/0 o(156-190=34)/0 i(212-243=31)/0 o(265-270=5)/0 i(292-305=13)/0 	19.25	18.25
IPI00463092	TREMBL D3YTX3	305	o15-37i57-79o99-121i134-156o190-212i241-263o273-292i	o(1-15=14)/1 i(37-57=20)/0 o(79-99=20)/0 i(121-134=13)/0 o(156-190=34)/0 i(212-241=29)/0 o(263-273=10)/0 i(292-305=13)/0 	18.75	19.5
IPI00460327	TREMBL D3YTW8	305	o15-37i57-79o99-121i134-156o190-212i238-260o270-292i	o(1-15=14)/1 i(37-57=20)/0 o(79-99=20)/0 i(121-134=13)/0 o(156-190=34)/0 i(212-238=26)/0 o(260-270=10)/0 i(292-305=13)/0 	18	19.5
IPI00649597	TREMBL D3Z5N1	291	o15-37i57-79o94-113i140-162o172-194i	o(1-15=14)/1 i(37-57=20)/0 o(79-94=15)/0 i(113-140=27)/0 o(162-172=10)/0 i(194-291=97)/0 	48	13
IPI00314513	SWISS-PROT Q91XE8	189	o15-37i57-79o84-106i164-186o	o(1-15=14)/1 i(37-57=20)/0 o(79-84=5)/0 i(106-164=58)/0 o(186-189=3)/0 	39	7.33333
IPI00122396	SWISS-PROT Q9JJY3	655	o15-37i57-79o	o(1-15=14)/1 i(37-57=20)/0 o(79-655=576)/0 	20	295
IPI00652259	TREMBL Q3UEV8	97	o15-37i57-79o	o(1-15=14)/1 i(37-57=20)/0 o(79-97=18)/0 	20	16
IPI00989986	TREMBL E9Q5H3 Q61671	92	o15-37i57-79o	o(1-15=14)/1 i(37-57=20)/0 o(79-92=13)/0 	20	13.5
IPI00323807	SWISS-PROT Q7TQA5	319	o15-37i57-76o96-118i138-157o193-215i249-268o272-294i	o(1-15=14)/1 i(37-57=20)/0 o(76-96=20)/0 i(118-138=20)/0 o(157-193=36)/0 i(215-249=34)/0 o(268-272=4)/0 i(294-319=25)/0 	24.75	18.5
IPI00116191	SWISS-PROT P49650	373	o15-37i56-78o88-110i131-153o168-190i222-244o259-278i	o(1-15=14)/1 i(37-56=19)/0 o(78-88=10)/0 i(110-131=21)/0 o(153-168=15)/0 i(190-222=32)/0 o(244-259=15)/0 i(278-373=95)/0 	41.75	13.5
IPI00320992	TREMBL Q0P547 Q8R2B2	304	o15-37i54-76o96-118i131-153o189-211i242-264o	o(1-15=14)/1 i(37-54=17)/0 o(76-96=20)/0 i(118-131=13)/0 o(153-189=36)/0 i(211-242=31)/0 o(264-304=40)/0 	20.3333	27.5
IPI00121245	SWISS-PROT Q99PN0	618	o15-37i54-76o91-113i134-156o166-188i195-217o242-261i282-304o341-363i383-405o415-437i444-466o522-544i	o(1-15=14)/1 i(37-54=17)/0 o(76-91=15)/0 i(113-134=21)/0 o(156-166=10)/0 i(188-195=7)/0 o(217-242=25)/0 i(261-282=21)/0 o(304-341=37)/0 i(363-383=20)/0 o(405-415=10)/0 i(437-444=7)/0 o(466-522=56)/0 i(544-618=74)/0 	23.8571	23.8571
IPI00750173	TREMBL D3YTY1	307	o15-37i53-72o196-213i245-267o272-294i	o(1-15=14)/1 i(37-53=16)/0 o(72-196=124)/0 i(213-245=32)/0 o(267-272=5)/0 i(294-307=13)/0 	20.3333	47.6667
IPI00752524	TREMBL E9PVL1	307	o15-37i53-72o196-213i245-267o272-294i	o(1-15=14)/1 i(37-53=16)/0 o(72-196=124)/0 i(213-245=32)/0 o(267-272=5)/0 i(294-307=13)/0 	20.3333	47.6667
IPI00753232	TREMBL E9Q8Q2	307	o15-37i53-72o196-213i245-267o272-294i	o(1-15=14)/1 i(37-53=16)/0 o(72-196=124)/0 i(213-245=32)/0 o(267-272=5)/0 i(294-307=13)/0 	20.3333	47.6667
IPI00756082	TREMBL E9PW86	307	o15-37i53-72o196-213i245-267o272-294i	o(1-15=14)/1 i(37-53=16)/0 o(72-196=124)/0 i(213-245=32)/0 o(267-272=5)/0 i(294-307=13)/0 	20.3333	47.6667
IPI00955703	TREMBL E9Q9N3	307	o15-37i53-72o196-213i245-267o272-294i	o(1-15=14)/1 i(37-53=16)/0 o(72-196=124)/0 i(213-245=32)/0 o(267-272=5)/0 i(294-307=13)/0 	20.3333	47.6667
IPI00955724	TREMBL E9Q2T0	307	o15-37i53-72o196-213i245-267o272-294i	o(1-15=14)/1 i(37-53=16)/0 o(72-196=124)/0 i(213-245=32)/0 o(267-272=5)/0 i(294-307=13)/0 	20.3333	47.6667
IPI00955749	TREMBL E9PUW9	307	o15-37i53-72o196-213i245-267o272-294i	o(1-15=14)/1 i(37-53=16)/0 o(72-196=124)/0 i(213-245=32)/0 o(267-272=5)/0 i(294-307=13)/0 	20.3333	47.6667
IPI00320995	TREMBL B9EK86 Q8R2B5	305	o15-37i53-72o194-211i243-265o269-291i	o(1-15=14)/1 i(37-53=16)/0 o(72-194=122)/0 i(211-243=32)/0 o(265-269=4)/0 i(291-305=14)/0 	20.6667	46.6667
IPI00955702	TREMBL E9Q5Y9	307	o15-37i53-72o192-214i245-267o272-294i	o(1-15=14)/1 i(37-53=16)/0 o(72-192=120)/0 i(214-245=31)/0 o(267-272=5)/0 i(294-307=13)/0 	20	46.3333
IPI00955710	TREMBL E9Q346	307	o15-37i53-72o192-214i245-267o272-294i	o(1-15=14)/1 i(37-53=16)/0 o(72-192=120)/0 i(214-245=31)/0 o(267-272=5)/0 i(294-307=13)/0 	20	46.3333
IPI00988829	ENSEMBL ENSMUSP00000133598 ENSMUSP00000133911	306	o15-37i53-72o140-162i175-192o196-213i244-266o271-293i	o(1-15=14)/1 i(37-53=16)/0 o(72-140=68)/0 i(162-175=13)/0 o(192-196=4)/0 i(213-244=31)/0 o(266-271=5)/0 i(293-306=13)/0 	18.25	22.75
IPI00955708	TREMBL E9PZR7	307	o15-37i53-72o132-154i175-192o196-213i245-267o272-294i	o(1-15=14)/1 i(37-53=16)/0 o(72-132=60)/0 i(154-175=21)/0 o(192-196=4)/0 i(213-245=32)/0 o(267-272=5)/0 i(294-307=13)/0 	20.5	20.75
